offer_id,product_id,platform,payout_type,offer_price,commission_rate,fixed_commission_amount,commission_per_lead,cookie_duration_days,recurring_commission,affiliate_url,offer_status
O00001,P0001,Rakuten Advertising,fixed_amount,,,134.1,,7,False,https://example.com/offers/o00001,active
O00002,P0002,Direct Program,lead,,,,49.41,0,False,https://example.com/offers/o00002,unknown
O00003,P0002,Impact,one_time,286.89,0.5643,,,60,False,https://example.com/offers/o00003,unknown
O00004,P0003,Rakuten Advertising,one_time,358.22,0.3788,,,0,False,https://example.com/offers/o00004,active
O00005,P0003,ShareASale,recurring,285.34,0.6253,,,14,True,https://example.com/offers/o00005,inactive
O00006,P0003,Awin,fixed_amount,,,102.27,,14,False,https://example.com/offers/o00006,inactive
O00007,P0004,Rakuten Advertising,recurring,526.2,0.6374,,,1,True,https://example.com/offers/o00007,active
O00008,P0004,Impact,fixed_amount,,,121.59,,90,False,https://example.com/offers/o00008,inactive
O00009,P0004,Awin,lead,,,,6.56,1,False,https://example.com/offers/o00009,unknown
O00010,P0004,Impact,one_time,424.03,0.7168,,,90,False,https://example.com/offers/o00010,active
O00011,P0005,ShareASale,fixed_amount,,,42.02,,30,False,https://example.com/offers/o00011,active
O00012,P0006,Impact,lead,,,,73.95,7,False,https://example.com/offers/o00012,inactive
O00013,P0006,CJ Affiliate,one_time,400.63,0.2326,,,7,False,https://example.com/offers/o00013,inactive
O00014,P0007,Rakuten Advertising,one_time,272.56,0.4055,,,0,False,https://example.com/offers/o00014,inactive
O00015,P0007,Impact,recurring,332.94,0.2953,,,1,True,https://example.com/offers/o00015,active
O00016,P0007,Direct Program,fixed_amount,,,147.53,,60,False,https://example.com/offers/o00016,unknown
O00017,P0008,Impact,recurring,37.23,0.0477,,,7,True,https://example.com/offers/o00017,active
O00018,P0008,PartnerStack,fixed_amount,,,102.4,,60,False,https://example.com/offers/o00018,active
O00019,P0008,ShareASale,lead,,,,62.24,1,False,https://example.com/offers/o00019,inactive
O00020,P0008,Amazon Associates,one_time,41.99,0.6985,,,90,False,https://example.com/offers/o00020,unknown
O00021,P0009,Awin,fixed_amount,,,126.53,,30,False,https://example.com/offers/o00021,inactive
O00022,P0010,ShareASale,lead,,,,38.81,7,False,https://example.com/offers/o00022,active
O00023,P0010,Amazon Associates,one_time,410.22,0.4452,,,90,False,https://example.com/offers/o00023,active
O00024,P0011,Impact,one_time,113.09,0.056,,,1,False,https://example.com/offers/o00024,active
O00025,P0011,Awin,recurring,145.07,0.2514,,,14,True,https://example.com/offers/o00025,unknown
O00026,P0011,Impact,fixed_amount,,,8.33,,90,False,https://example.com/offers/o00026,inactive
O00027,P0012,CJ Affiliate,recurring,86.9,0.5867,,,7,True,https://example.com/offers/o00027,active
O00028,P0012,CJ Affiliate,fixed_amount,,,48.5,,60,False,https://example.com/offers/o00028,inactive
O00029,P0012,CJ Affiliate,lead,,,,72.87,30,False,https://example.com/offers/o00029,active
O00030,P0012,CJ Affiliate,one_time,75.48,0.4422,,,60,False,https://example.com/offers/o00030,active
O00031,P0013,Amazon Associates,fixed_amount,,,77.16,,14,False,https://example.com/offers/o00031,active
O00032,P0014,Amazon Associates,lead,,,,55.42,90,False,https://example.com/offers/o00032,active
O00033,P0014,ShareASale,one_time,66.85,0.1371,,,1,False,https://example.com/offers/o00033,inactive
O00034,P0015,PartnerStack,one_time,305.86,0.3275,,,60,False,https://example.com/offers/o00034,unknown
O00035,P0015,PartnerStack,recurring,359.2,0.1092,,,0,True,https://example.com/offers/o00035,active
O00036,P0015,Direct Program,fixed_amount,,,78.07,,30,False,https://example.com/offers/o00036,active
O00037,P0016,Impact,recurring,329.59,0.495,,,90,True,https://example.com/offers/o00037,active
O00038,P0016,Direct Program,fixed_amount,,,104.5,,90,False,https://example.com/offers/o00038,inactive
O00039,P0016,Amazon Associates,lead,,,,7.52,7,False,https://example.com/offers/o00039,unknown
O00040,P0016,Amazon Associates,one_time,311.55,0.2635,,,90,False,https://example.com/offers/o00040,active
O00041,P0017,PartnerStack,fixed_amount,,,77.47,,7,False,https://example.com/offers/o00041,active
O00042,P0018,Impact,lead,,,,10.55,1,False,https://example.com/offers/o00042,active
O00043,P0018,Awin,one_time,183.71,0.4238,,,0,False,https://example.com/offers/o00043,inactive
O00044,P0019,ShareASale,one_time,47.88,0.2729,,,0,False,https://example.com/offers/o00044,active
O00045,P0019,Awin,recurring,55.41,0.1684,,,90,True,https://example.com/offers/o00045,active
O00046,P0019,CJ Affiliate,fixed_amount,,,42.94,,7,False,https://example.com/offers/o00046,active
O00047,P0020,PartnerStack,recurring,242.87,0.666,,,30,True,https://example.com/offers/o00047,active
O00048,P0020,Awin,fixed_amount,,,39.73,,90,False,https://example.com/offers/o00048,active
O00049,P0020,Direct Program,lead,,,,45.55,60,False,https://example.com/offers/o00049,inactive
O00050,P0020,Rakuten Advertising,one_time,251.75,0.3962,,,30,False,https://example.com/offers/o00050,unknown
O00051,P0021,CJ Affiliate,fixed_amount,,,71.42,,1,False,https://example.com/offers/o00051,active
O00052,P0022,Impact,lead,,,,39.8,1,False,https://example.com/offers/o00052,inactive
O00053,P0022,Direct Program,one_time,121.01,0.3918,,,90,False,https://example.com/offers/o00053,inactive
O00054,P0023,Amazon Associates,one_time,336.38,0.3214,,,14,False,https://example.com/offers/o00054,unknown
O00055,P0023,Awin,recurring,386.37,0.2313,,,0,True,https://example.com/offers/o00055,active
O00056,P0023,Amazon Associates,fixed_amount,,,37.46,,1,False,https://example.com/offers/o00056,active
O00057,P0024,Awin,recurring,214.76,0.396,,,7,True,https://example.com/offers/o00057,inactive
O00058,P0024,CJ Affiliate,fixed_amount,,,38.19,,1,False,https://example.com/offers/o00058,inactive
O00059,P0024,Impact,lead,,,,14.43,30,False,https://example.com/offers/o00059,active
O00060,P0024,PartnerStack,one_time,280.82,0.3657,,,30,False,https://example.com/offers/o00060,unknown
O00061,P0025,Rakuten Advertising,fixed_amount,,,55.37,,14,False,https://example.com/offers/o00061,unknown
O00062,P0026,ShareASale,lead,,,,20.18,0,False,https://example.com/offers/o00062,inactive
O00063,P0026,Rakuten Advertising,one_time,173.46,0.4764,,,7,False,https://example.com/offers/o00063,active
O00064,P0027,ShareASale,one_time,153.89,0.5446,,,1,False,https://example.com/offers/o00064,active
O00065,P0027,Awin,recurring,175.72,0.5348,,,14,True,https://example.com/offers/o00065,active
O00066,P0027,CJ Affiliate,fixed_amount,,,113.61,,14,False,https://example.com/offers/o00066,inactive
O00067,P0028,PartnerStack,recurring,255.84,0.3957,,,7,True,https://example.com/offers/o00067,active
O00068,P0028,ShareASale,fixed_amount,,,16.5,,60,False,https://example.com/offers/o00068,active
O00069,P0028,CJ Affiliate,lead,,,,31.66,1,False,https://example.com/offers/o00069,active
O00070,P0028,Impact,one_time,235.23,0.0561,,,7,False,https://example.com/offers/o00070,active
O00071,P0029,CJ Affiliate,fixed_amount,,,114.14,,1,False,https://example.com/offers/o00071,inactive
O00072,P0030,Impact,lead,,,,4.97,60,False,https://example.com/offers/o00072,inactive
O00073,P0030,Rakuten Advertising,one_time,82.35,0.5309,,,7,False,https://example.com/offers/o00073,active
O00074,P0031,CJ Affiliate,one_time,158.8,0.0556,,,90,False,https://example.com/offers/o00074,unknown
O00075,P0031,Amazon Associates,recurring,130.63,0.1915,,,60,True,https://example.com/offers/o00075,active
O00076,P0031,Impact,fixed_amount,,,94.44,,90,False,https://example.com/offers/o00076,active
O00077,P0032,Awin,recurring,341.15,0.1235,,,60,True,https://example.com/offers/o00077,inactive
O00078,P0032,CJ Affiliate,fixed_amount,,,44.99,,7,False,https://example.com/offers/o00078,inactive
O00079,P0032,Direct Program,lead,,,,48.3,30,False,https://example.com/offers/o00079,unknown
O00080,P0032,Rakuten Advertising,one_time,342.0,0.0915,,,0,False,https://example.com/offers/o00080,active
