product_id,product_name,category,product_type,product_url,reference_price,reference_commission_rate,search_volume,search_growth_7d,social_mentions_7d,competitor_count,days_until_peak,seasonal_relevance
P0001,Synthetic Summer Gadgets Product 1,Summer Gadgets,software,https://example.com/products/p0001,137.1,0.3237,13928,-13,246,131,24,90
P0002,Synthetic Creator Tools Product 2,Creator Tools,course,https://example.com/products/p0002,334.39,0.2522,115796,4,918,138,70,54
P0003,Synthetic Beauty Product 3,Beauty,subscription,https://example.com/products/p0003,332.73,0.5745,124896,-15,5159,62,70,18
P0004,Synthetic Beauty Product 4,Beauty,mobile_app,https://example.com/products/p0004,463.49,0.2384,79655,31,11049,94,80,44
P0005,Synthetic Home Office Product 5,Home Office,service,https://example.com/products/p0005,373.86,0.5355,100654,90,11206,60,27,45
P0006,Synthetic Education Product 6,Education,membership,https://example.com/products/p0006,375.6,0.2639,148558,-66,13291,158,55,16
P0007,Synthetic Travel Product 7,Travel,subscription,https://example.com/products/p0007,338.83,0.4146,29150,-46,13329,103,45,16
P0008,Synthetic Productivity Product 8,Productivity,membership,https://example.com/products/p0008,36.74,0.598,45493,25,3190,88,65,73
P0009,Synthetic Productivity Product 9,Productivity,membership,https://example.com/products/p0009,271.56,0.4041,32312,85,625,20,90,47
P0010,Synthetic Fitness Product 10,Fitness,digital_download,https://example.com/products/p0010,416.21,0.3522,97538,32,2581,124,9,1
P0011,Synthetic Personal Finance Product 11,Personal Finance,subscription,https://example.com/products/p0011,134.21,0.1768,78180,-38,7615,30,22,60
P0012,Synthetic Gaming Product 12,Gaming,subscription,https://example.com/products/p0012,78.17,0.2656,141633,25,11714,105,67,32
P0013,Synthetic Travel Product 13,Travel,mobile_app,https://example.com/products/p0013,344.23,0.3909,5596,67,14935,120,69,86
P0014,Synthetic Career Software Product 14,Career Software,software,https://example.com/products/p0014,62.09,0.5587,67096,80,3287,48,86,45
P0015,Synthetic Personal Finance Product 15,Personal Finance,course,https://example.com/products/p0015,369.89,0.3996,146833,80,6744,54,67,59
P0016,Synthetic Pet Care Product 16,Pet Care,subscription,https://example.com/products/p0016,320.21,0.2783,1273,-19,7185,136,60,85
P0017,Synthetic Career Software Product 17,Career Software,mobile_app,https://example.com/products/p0017,74.34,0.0346,42385,40,9037,147,42,43
P0018,Synthetic Summer Gadgets Product 18,Summer Gadgets,software,https://example.com/products/p0018,194.34,0.5929,122128,-50,4755,116,10,22
P0019,Synthetic Creator Tools Product 19,Creator Tools,mobile_app,https://example.com/products/p0019,53.35,0.0213,2664,75,8548,158,26,7
P0020,Synthetic Beauty Product 20,Beauty,service,https://example.com/products/p0020,292.42,0.2525,120577,64,344,135,43,39
P0021,Synthetic Gaming Product 21,Gaming,software,https://example.com/products/p0021,28.18,0.0895,135999,79,4561,123,88,96
P0022,Synthetic Gaming Product 22,Gaming,physical,https://example.com/products/p0022,108.22,0.1127,12060,-19,14655,28,48,90
P0023,Synthetic Education Product 23,Education,course,https://example.com/products/p0023,394.79,0.2755,1445,-55,10987,18,53,90
P0024,Synthetic Home Office Product 24,Home Office,digital_download,https://example.com/products/p0024,264.59,0.2135,21839,27,6588,95,38,64
P0025,Synthetic Gaming Product 25,Gaming,course,https://example.com/products/p0025,33.73,0.2165,8691,-40,4654,41,52,37
P0026,Synthetic Fitness Product 26,Fitness,service,https://example.com/products/p0026,208.45,0.2617,10831,-32,10634,115,22,41
P0027,Synthetic Creator Tools Product 27,Creator Tools,physical,https://example.com/products/p0027,175.59,0.0944,109658,50,5709,18,46,99
P0028,Synthetic Creator Tools Product 28,Creator Tools,digital_download,https://example.com/products/p0028,229.26,0.2974,23211,82,5078,131,74,9
P0029,Synthetic Travel Product 29,Travel,digital_download,https://example.com/products/p0029,295.21,0.3964,148517,20,6516,6,24,5
P0030,Synthetic Productivity Product 30,Productivity,membership,https://example.com/products/p0030,73.27,0.5561,30342,-38,5202,95,58,91
P0031,Synthetic Creator Tools Product 31,Creator Tools,physical,https://example.com/products/p0031,145.38,0.3294,134596,-25,12840,14,74,29
P0032,Synthetic Home Office Product 32,Home Office,service,https://example.com/products/p0032,314.09,0.5667,148310,40,2839,120,15,14
P0033,Synthetic Gaming Product 33,Gaming,course,https://example.com/products/p0033,496.09,0.1114,135720,8,11245,11,74,48
P0034,Synthetic Travel Product 34,Travel,course,https://example.com/products/p0034,378.58,0.5484,140886,88,7149,5,13,20
P0035,Synthetic Gaming Product 35,Gaming,physical,https://example.com/products/p0035,137.92,0.3966,81005,-46,880,42,86,28
P0036,Synthetic Beauty Product 36,Beauty,service,https://example.com/products/p0036,202.33,0.3785,78150,-42,5279,43,76,73
P0037,Synthetic Career Software Product 37,Career Software,subscription,https://example.com/products/p0037,490.39,0.0262,51574,-65,1451,84,9,45
P0038,Synthetic Productivity Product 38,Productivity,course,https://example.com/products/p0038,431.28,0.1132,51460,-26,5621,81,22,2
P0039,Synthetic Productivity Product 39,Productivity,subscription,https://example.com/products/p0039,24.59,0.3435,147243,-68,7764,85,51,38
